max=8192 inactive=10s,377132,on,19082,297,8 16k,8m,76,120s,8,on,4m,137516,on,16,12,482,2,shared:SSL:1m,256k,20736,4m,on,4,2k,on,97
max=32768 inactive=10s,256300,on,45578,149,16 8k,512m,24,60s,10,off,32m,53036,off,118,425,426,7,shared:SSL:1m,8k,38656,4k,on,299,128k,on,314
max=8192 inactive=10s,171308,on,16394,66,16 8k,512m,186,30s,8,off,16m,125996,off,153,111,529,2,none,32k,15232,64,on,9,16k,on,276
max=16384 inactive=10s,630060,off,3338,201,8 16k,64m,52,30s,6,off,64m,107564,on,59,529,498,3,off,128k,14208,1m,off,43,1k,off,351
max=16384 inactive=10s,124204,off,5258,277,4 32k,2m,273,180s,6,on,16m,158508,off,97,324,360,9,builtin:1000,512k,49792,526,on,78,32k,on,56
max=8192 inactive=10s,276780,on,38538,112,16 8k,2m,160,90s,2,off,64m,153388,on,220,248,323,2,builtin:1000,1024k,37248,64,off,95,8k,off,392
max=16384 inactive=10s,22828,on,26634,159,8 16k,256m,112,20s,6,off,2m,59948,on,72,81,580,8,builtin:1000,32768k,26112,256k,off,206,4k,on,61
max=16384 inactive=10s,294188,off,21386,106,2 64k,128m,162,10s,6,on,64m,155948,on,129,53,333,4,builtin:1000,2048k,9856,4k,off,168,64k,on,93
max=4096 inactive=10s,606508,on,33674,130,4 32k,64m,212,150s,3,off,2m,93740,on,266,454,12,6,builtin:1000,128k,60288,64k,off,31,64k,on,259
max=2048 inactive=10s,422188,off,36106,285,16 8k,32m,296,20s,7,off,64m,25132,off,101,24,240,5,none,4096k,4992,64k,on,96,64k,on,187
max=2048 inactive=10s,315692,off,51338,168,4 32k,32m,58,30s,3,on,4m,96556,off,203,335,538,7,builtin:1000,128k,3072,4m,off,248,8k,on,421
max=1024 inactive=10s,461100,off,50058,99,32 4k,2m,98,120s,5,off,1m,105772,on,255,134,508,6,none,4096k,50048,256k,off,167,2k,off,416
max=4096 inactive=10s,430380,on,58762,30,2 64k,512m,235,30s,9,on,8m,72236,off,110,96,297,3,off,64k,31488,4m,off,251,32k,on,5
max=2048 inactive=10s,287020,off,10890,128,2 64k,256m,252,60s,6,off,8m,76588,off,44,227,391,5,none,512k,39296,256k,on,120,8k,off,213
max=32768 inactive=10s,580908,off,17674,192,4 32k,32m,149,120s,10,on,128m,122156,on,67,486,151,7,none,32k,34944,128,on,259,128k,off,365
max=2048 inactive=10s,363820,on,19978,223,16 8k,64m,259,90s,9,on,64m,45868,off,49,584,398,6,off,32k,51072,1m,on,153,128k,off,359
max=4096 inactive=10s,168236,off,522,265,4 32k,16m,183,120s,5,on,16m,110380,on,115,367,171,8,none,128k,5888,64k,on,263,256k,off,240
max=2048 inactive=10s,139564,on,48138,9,32 4k,16m,13,150s,4,on,2m,145452,on,241,65,458,5,builtin:1000,2048k,47360,1m,on,72,32k,on,150
max=16384 inactive=10s,236844,on,61706,176,4 32k,256m,123,20s,4,on,8m,65068,on,232,218,351,3,none,16384k,61056,64k,on,67,64k,off,140
max=16384 inactive=10s,446764,off,39178,134,16 8k,8m,233,150s,2,off,2m,100140,off,146,303,207,7,none,16k,35456,256k,off,101,32k,off,201
max=8192 inactive=10s,512300,off,37002,250,4 32k,128m,282,20s,4,off,16m,117548,on,248,377,571,2,shared:SSL:1m,8192k,31872,526,on,179,2k,on,326
max=4096 inactive=10s,114988,on,32138,180,4 32k,256m,22,90s,1,on,1m,129068,off,83,266,48,2,builtin:1000,2048k,28800,128,on,48,2k,on,21
max=2048 inactive=10s,191788,on,31370,86,8 16k,128m,266,120s,8,on,2m,139564,off,11,287,337,6,off,2048k,13312,4k,off,195,32k,off,263
max=2048 inactive=10s,86316,off,57226,141,32 4k,16m,246,150s,4,on,4m,22316,off,26,146,123,1,none,256k,6656,526,on,287,128k,off,344
max=4096 inactive=10s,57644,on,22410,185,2 64k,8m,207,120s,7,on,32m,70188,off,141,195,560,8,builtin:1000,64k,42368,526,off,238,4k,on,288
max=4096 inactive=10s,149804,on,48778,152,8 16k,4m,8,90s,1,on,128m,87340,off,299,279,63,8,none,1024k,57088,1m,off,227,32k,on,193
max=1024 inactive=10s,548140,on,8714,23,16 8k,16m,218,60s,7,off,128m,41516,on,38,490,20,3,builtin:1000,4096k,33408,526,on,231,32k,on,327
max=16384 inactive=10s,496940,off,3850,269,8 16k,16m,72,20s,2,on,64m,89644,off,86,356,103,9,none,32768k,54528,526,on,54,4k,off,133
max=4096 inactive=10s,481580,on,14090,244,4 32k,4m,151,150s,4,on,2m,119340,off,163,192,229,3,builtin:1000,1024k,7680,4k,on,190,256k,off,24
max=2048 inactive=10s,347436,off,24586,92,16 8k,8m,4,20s,7,off,16m,42028,on,292,441,170,7,builtin:1000,64k,52224,4m,off,208,64k,on,445
max=8192 inactive=10s,36140,off,23690,219,16 8k,32m,224,90s,8,off,16m,29228,on,277,558,590,5,none,8192k,18688,64k,off,281,64k,off,120
max=8192 inactive=10s,7468,on,12938,111,4 32k,64m,62,30s,3,off,2m,2348,off,156,88,411,1,shared:SSL:1m,256k,9472,64,on,216,128k,off,79
max=2048 inactive=10s,396588,off,54666,255,8 16k,256m,103,20s,5,off,1m,31532,off,182,37,556,8,off,16384k,16768,256k,on,115,4k,on,455
max=32768 inactive=10s,101676,on,46346,259,8 16k,128m,89,90s,3,on,32m,113452,off,92,43,132,1,none,8192k,64000,526,off,274,4k,off,431
max=8192 inactive=10s,216364,on,29834,235,16 8k,2m,135,10s,4,off,1m,35884,on,188,293,76,4,shared:SSL:1m,4096k,1152,1m,off,142,2k,on,470
max=4096 inactive=10s,40236,off,60426,291,4 32k,8m,80,150s,3,off,64m,56620,on,177,424,514,6,none,512k,20736,1m,on,159,256k,on,153
max=8192 inactive=10s,322860,off,2058,73,8 16k,256m,271,60s,1,on,128m,8236,off,52,469,446,4,shared:SSL:1m,256k,29696,1m,off,185,4k,off,389
max=8192 inactive=10s,636204,on,42762,121,8 16k,512m,108,120s,7,on,4m,54316,on,259,571,267,4,builtin:1000,1024k,57984,4k,off,25,16k,off,219
max=4096 inactive=10s,524588,off,41354,215,32 4k,128m,132,90s,9,off,8m,135468,on,4,168,147,2,shared:SSL:1m,16384k,11008,256k,on,293,128k,on,299
max=1024 inactive=10s,403756,off,62730,166,32 4k,64m,191,10s,7,off,8m,80684,on,271,346,257,4,builtin:1000,32k,22784,64k,on,241,8k,off,48
max=8192 inactive=10s,602412,off,34954,76,16 8k,128m,49,30s,10,on,32m,11308,off,223,512,469,5,off,4096k,55424,4k,off,135,2k,off,246
max=4096 inactive=10s,471340,off,28810,58,8 16k,4m,93,180s,5,on,32m,103468,on,170,463,221,3,shared:SSL:1m,256k,65536,526,off,35,1k,off,453
max=16384 inactive=10s,78124,off,15242,207,8 16k,8m,173,90s,9,on,2m,85292,on,74,207,380,4,none,16k,23808,64k,on,14,8k,on,401
max=8192 inactive=10s,588076,on,27786,18,2 64k,32m,241,150s,3,off,64m,4652,off,212,120,417,2,none,64k,45312,128,off,149,16k,on,481
max=16384 inactive=10s,535852,off,52362,46,4 32k,16m,204,60s,6,on,4m,79916,off,199,523,285,6,none,1024k,44032,1m,off,217,8k,off,179
max=1024 inactive=10s,65836,on,7562,4,4 32k,32m,287,30s,5,off,8m,13100,off,285,396,203,7,off,32768k,46848,256k,on,18,1k,off,497
max=32768 inactive=10s,567596,on,44042,232,16 8k,4m,292,60s,2,off,8m,132652,on,135,150,108,7,builtin:1000,32k,18176,4k,off,79,16k,on,295
max=16384 inactive=10s,196908,on,40842,53,8 16k,64m,45,60s,8,on,32m,66604,on,192,181,275,5,builtin:1000,8k,62464,128,off,58,4k,off,486
max=1024 inactive=10s,229676,on,11402,44,2 64k,4m,128,60s,9,off,16m,15916,on,33,406,55,6,off,16k,59136,128,off,87,64k,on,169
max=2048 inactive=10s,650540,on,54538,38,16 8k,4m,199,150s,5,on,8m,149548,on,235,538,188,8,off,512k,40192,64,on,110,2k,off,39
max=4096 inactive=10s,251180,off,56458,200,32 4k,128m,29,20s,9,on,4m,144172,off,208,384,439,3,builtin:1000,8192k,42752,526,on,126,16k,on,232
max=2048 inactive=10s,355628,on,6666,14,4 32k,64m,169,150s,8,off,32m,19244,off,126,241,305,8,builtin:1000,16384k,25088,256k,off,131,128k,on,75
max=32768 inactive=10s,504108,off,64522,280,8 16k,16m,145,180s,2,off,4m,48428,on,23,600,87,4,none,8k,1920,128,off,176,8k,off,115
max=16384 inactive=10s,327980,off,63882,82,16 8k,32m,38,10s,2,off,16m,34860,off,282,550,34,9,shared:SSL:1m,16k,27264,128,on,271,16k,off,378
max=8192 inactive=10s,586028,off,61578,76,16 8k,128m,149,60s,9,on,32m,11308,off,223,512,390,5,off,4096k,13696,64,off,6,2k,off,314
max=8192 inactive=10s,634156,off,23306,234,16 8k,128m,118,30s,10,on,32m,11308,off,264,232,469,4,off,2048k,28544,1m,off,135,2k,off,360
max=8192 inactive=10s,553260,off,20874,76,16 8k,128m,28,30s,10,on,32m,33324,off,112,416,527,4,off,2048k,62848,1m,off,176,4k,off,185
max=8192 inactive=10s,583980,off,31882,73,16 8k,128m,65,30s,8,on,16m,22828,on,133,495,509,6,off,4096k,63360,4k,off,135,8k,off,62
max=8192 inactive=10s,181548,off,34954,76,16 8k,128m,101,30s,10,on,32m,11308,off,223,512,408,8,off,4096k,55424,64,off,87,2k,on,136
max=8192 inactive=10s,483628,on,2954,76,16 8k,512m,49,30s,10,on,32m,9772,on,223,599,469,5,none,4096k,36224,4k,off,246,2k,off,250
max=8192 inactive=10s,602412,on,52362,76,16 8k,128m,49,30s,10,off,32m,11308,off,223,512,469,6,off,8192k,55424,4k,off,241,8k,off,408
max=8192 inactive=10s,602412,off,34954,124,16 8k,32m,219,30s,10,off,32m,62764,off,223,512,469,5,none,2048k,55424,4k,off,197,16k,off,246
max=8192 inactive=10s,628012,off,34954,208,16 8k,128m,49,20s,10,off,32m,122412,on,223,512,392,3,off,2048k,55424,4k,off,135,4k,off,250
max=8192 inactive=10s,602412,off,34954,76,16 8k,128m,49,30s,7,on,4m,6700,off,281,441,469,5,none,4096k,63744,4k,off,171,8k,off,419
max=8192 inactive=10s,602412,off,43786,41,16 8k,128m,49,30s,10,on,32m,11308,off,223,153,310,5,off,4096k,55424,4k,off,124,2k,off,202
max=8192 inactive=10s,602412,off,58250,76,16 8k,64m,49,120s,10,on,32m,11308,off,223,512,71,5,off,4096k,55424,4k,off,135,2k,off,246
max=8192 inactive=10s,422188,off,65162,77,8 16k,128m,49,30s,10,off,32m,11308,off,223,512,469,7,off,4096k,55424,64k,on,135,2k,off,57
max=8192 inactive=10s,602412,off,34954,76,8 16k,128m,32,30s,10,on,64m,11308,off,223,574,540,5,off,4096k,55424,4k,off,135,2k,off,193
